,4_ExactMolWt,5_Chi0n,6_Chi0n,5_Chi0v,4_FractionCSP3,5_FractionCSP3,6_FractionCSP3,5_HeavyAtomCount,4_HeavyAtomMolWt,5_HeavyAtomMolWt,6_HeavyAtomMolWt,5_LabuteASA,2_MolLogP,4_MolLogP,5_NumHAcceptors,6_NumHDonors,5_NumRotatableBonds,4_TPSA,5_TPSA,6_TPSA,OUTPUT
99,382.0874947,16.63970734,16.63970734,16.63970734,0.142857143,0.142857143,0.142857143,29,364.293,364.287,364.287,168.8935364,-0.2956,3.72544,8,4,4,83.83,153.52,153.52,
100,510.2298727,14.80092304,14.80092304,15.61741963,0.2,0.142857143,0.142857143,27,479.825,364.293,364.293,157.1710017,-0.2956,3.9963,5,2,2,47.97,83.83,83.83,
101,510.2298727,14.80092304,21.63571365,15.61741963,0.2,0.142857143,0.2,27,479.825,364.293,479.825,157.1710017,-0.2956,3.9963,5,0,2,47.97,83.83,47.97,
102,510.2298727,14.80092304,16.76984402,15.61741963,0.2,0.142857143,0.208333333,27,479.825,364.293,330.285,157.1710017,-0.2956,3.9963,5,0,2,47.97,83.83,18.84,
103,510.2298727,14.80092304,12.73011839,15.61741963,0.2,0.142857143,0.235294118,27,479.825,364.293,278.206,157.1710017,-0.2956,3.9963,5,1,2,47.97,83.83,65.26,
104,510.2298727,14.80092304,6.724990191,15.61741963,0.2,0.142857143,0.333333333,27,479.825,364.293,173.558,157.1710017,-0.2956,3.9963,5,0,2,47.97,83.83,29.96,
105,510.2298727,14.80092304,19.76006718,15.61741963,0.2,0.142857143,0.285714286,27,479.825,364.293,412.319,157.1710017,-0.2956,3.9963,5,1,2,47.97,83.83,56.69,
106,510.2298727,14.80092304,7.058709813,15.61741963,0.2,0.142857143,0,27,479.825,364.293,184.106,157.1710017,-0.2956,3.9963,5,1,2,47.97,83.83,67.51,
107,510.2298727,14.80092304,34.11465457,15.61741963,0.2,0.142857143,0.058823529,27,479.825,364.293,968.628,157.1710017,-0.2956,3.9963,5,4,2,47.97,83.83,389.2,
108,510.2298727,14.80092304,35.78682347,15.61741963,0.2,0.142857143,0,27,479.825,364.293,1006.704,157.1710017,-0.2956,3.9963,5,2,2,47.97,83.83,349.21,
109,510.2298727,14.80092304,16.63970734,15.61741963,0.2,0.142857143,0.142857143,27,479.825,364.293,364.287,157.1710017,-0.2956,3.9963,5,4,2,47.97,83.83,153.52,
110,510.2298727,21.63571365,14.80092304,22.39164259,0.2,0.2,0.142857143,37,479.825,479.825,364.293,223.8673792,-0.2956,3.9963,5,2,7,47.97,47.97,83.83,
111,510.2298727,21.63571365,21.63571365,22.39164259,0.2,0.2,0.2,37,479.825,479.825,479.825,223.8673792,-0.2956,3.9963,5,0,7,47.97,47.97,47.97,
112,510.2298727,21.63571365,16.76984402,22.39164259,0.2,0.2,0.208333333,37,479.825,479.825,330.285,223.8673792,-0.2956,3.9963,5,0,7,47.97,47.97,18.84,
113,510.2298727,21.63571365,12.73011839,22.39164259,0.2,0.2,0.235294118,37,479.825,479.825,278.206,223.8673792,-0.2956,3.9963,5,1,7,47.97,47.97,65.26,
114,510.2298727,21.63571365,6.724990191,22.39164259,0.2,0.2,0.333333333,37,479.825,479.825,173.558,223.8673792,-0.2956,3.9963,5,0,7,47.97,47.97,29.96,
115,510.2298727,21.63571365,19.76006718,22.39164259,0.2,0.2,0.285714286,37,479.825,479.825,412.319,223.8673792,-0.2956,3.9963,5,1,7,47.97,47.97,56.69,
